	SNP	Chromosome	Position	trait1
1	ENSG00000002079	7	98836416	8.64184671576837e-05
2	ENSG00000088340	20	34146506	0.0543097049116172
3	ENSG00000100181	22	17082776	0.869052343549928
4	ENSG00000105694	19	2538107	0.0103391395555852
5	ENSG00000135477	12	52644249	0.769655196511154
6	ENSG00000135747	1	247108848	0.131695057914788
7	ENSG00000146001	5	140613937	0.213257943332487
8	ENSG00000150526	14	39703119	0.554324198945061
9	ENSG00000151303	10	88752162	0.0495132643264691
10	ENSG00000154198	1	47308766	0.375775554439351
11	ENSG00000154316	8	11197145	0.0237093235252838
12	ENSG00000159860	7	143333744	0.892965184700794
13	ENSG00000163612	4	9155021	0.263609014684777
14	ENSG00000167912	8	60031598	0.258440099161952
15	ENSG00000167945	16	855442	0.633866661899461
16	ENSG00000171101	19	51670584	0.0549782617866504
17	ENSG00000173862	7	33765592	0.101190734609202
18	ENSG00000174403	20	61141549	0.132679855202831
19	ENSG00000174680	21	31120493	0.969202601582689
20	ENSG00000175967	6	114225301	0.696910651337208
21	ENSG00000176716	11	7749631	0.0272756732811964
22	ENSG00000177133	1	2976178	0.0497424331166887
23	ENSG00000177197	13	48902219	0.586233301169813
24	ENSG00000177855	2	184472169	0.112000842407025
25	ENSG00000178162	2	131174327	0.409167857118539
26	ENSG00000178636	4	120113927	0.230070631201369
27	ENSG00000179066	19	35596872	0.0919626303240957
28	ENSG00000179157	6	43331216	0.366095872366676
29	ENSG00000179277	17	15689931	0.9701979525555
30	ENSG00000179935	20	18768294	0.465068091974899
31	ENSG00000179967	4	140036083	0.00366439447196122
32	ENSG00000180019	7	112086218	0.980638258020044
33	ENSG00000180066	10	134257830	0.00074213767291869
34	ENSG00000180229	15	20588367	0.403455657464462
35	ENSG00000180769	4	85887537	0.347386338695504
36	ENSG00000181355	6	9596522	0.059540219303578
37	ENSG00000181819	23	104650317	0.908423697322441
38	ENSG00000182397	15	100330360	0.674499883247845
39	ENSG00000184139	4	132778497	0.79958992663283
40	ENSG00000184682	11	1910374	0.789525232435495
41	ENSG00000184774	1	202789393	0.00468508092249665
42	ENSG00000184795	11	67479172	0.842164761260476
43	ENSG00000186354	9	91605777	0.30257241074378
44	ENSG00000186369	14	62584196	0.435518473604398
45	ENSG00000186466	9	67272037	0.944405405803634
